all_planet_names,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date,visibility_from_naked_eyes
GJ 3473 b,27.3644,1.86,13.74,2020,not visible
NGTS-12 b,446.442,270.4,12.382,2020,not visible
EPIC 201170410.02,134,1.15,17.6984,2020,not visible
Kepler-462 c,596.625,6.0,11.632,2020,not visible
TOI-837 b,142.488,1560.0,10.635,2020,not visible
TOI-763 c,95.1274,9.32,10.265,2020,not visible
GJ 3473 c,27.3644,7.41,13.74,2020,not visible
TOI-540 b,14.0022,0.674,14.823,2020,not visible
TOI-421 c,74.7969,16.42,9.931,2020,not visible
TOI-824 b,63.9262,18.467,11.314,2020,not visible
TOI-1266 b,36.0118,4.23,12.941,2020,not visible
TOI-421 b,74.7969,7.17,9.931,2020,not visible
TOI-1266 c,36.0118,2.88,12.941,2020,not visible
NSVS 14256825 b,820.877,18395.0,13.296,2019,not visible
HR 5183 b,31.4607,4303.0,6.33432,2019,not visible
LSPM J2116+0234 b,17.6297,13.3,11.961,2019,not visible
EPIC 220554210 c,496.289,3.19,14.21,2019,not visible
Gl 49 b,9.8528,5.63,9.56,2019,not visible
KELT-23 A b,126.261,1219.4,10.308,2019,not visible
EPIC 212587672 b,320.07,2.13,12.488,2019,not visible
EPIC 212499991 b,283.29,3.19,13.672,2019,not visible
K2-32 e,157.682,2.1,12.304,2019,not visible
HD 2685 b,196.852,1521.0,9.595,2019,not visible
EPIC 206215704 b,109.888,0.972,17.83,2019,not visible
EPIC 212424622 b,611.804,5.35,13.441,2019,not visible
EPIC 212297394 b,418.395,2.79,14.611,2019,not visible
EPIC 206317286 b,314.35,0.84,14.005,2019,not visible
L 98-59 b,10.6194,0.4,11.685,2019,not visible
EPIC 206042996 b,451.769,3.53,16.59,2019,not visible
EPIC 206032309 b,161.365,1.01,17.89,2019,not visible
EPIC 206024342 b,369.888,3.53,13.096,2019,not visible
EPIC 205950854 c,243.935,2.27,12.365,2019,not visible
EPIC 201841433 b,436.488,1.12,14.983,2019,not visible
EPIC 201833600 c,257.443,0.972,14.705,2019,not visible
EPIC 201754305 d,334.967,1.08,14.668,2019,not visible
EPIC 201615463 c,476.882,1.98,12.081,2019,not visible
EPIC 201497682 b,253.026,0.26,13.948,2019,not visible
EPIC 201238110 b,159.259,4.16,16.014,2019,not visible
Kepler-65 e,303.728,1066.0,10.922,2019,not visible
DS Tucanae A b,44.0622,1690.0,8.17,2019,not visible
L 98-59 c,10.6194,2.42,11.685,2019,not visible
GJ 357 d,9.44181,6.1,10.91,2019,not visible
K2-133 e,75.1703,3.64,14.073,2019,not visible
Beta Pictoris c,19.7442,13180.7,3.85,2019,visible
HATS-58 A b,403.591,1339.0,11.572,2019,not visible
HATS-57 b,279.485,4091.1,12.333,2019,not visible
HATS-56 b,564.409,782.6,11.477,2019,not visible
LTT 1445 A b,6.86929,2.87,10.59,2019,not visible
K2-43 c,182.536,6.44,15.748,2019,not visible
K2-198 d,110.567,6.52,10.971,2019,not visible
K2-198 c,110.567,2.61,10.971,2019,not visible
HATS-55 b,609.838,1197.3,13.525,2019,not visible
HATS-54 b,748.585,978.9,13.937,2019,not visible
HAT-P-70 b,330.739,8814.0,9.47,2019,not visible
HAT-P-69 b,341.263,4654.0,9.774,2019,not visible
K2-146 c,79.3002,7.49,16.7,2019,not visible
GJ 357 b,9.44181,1.84,10.91,2019,not visible
L 98-59 d,10.6194,2.31,11.685,2019,not visible
EPIC 212737443 c,336.25,7.7,14.81,2019,not visible
EPIC 212737443 b,336.25,7.2,14.81,2019,not visible
WASP-166 b,114.173,32.101,9.351,2019,not visible
HR 858 d,31.964,5.32,6.38,2019,not visible
HR 858 c,31.964,4.42,6.38,2019,not visible
HR 858 b,31.964,5.0,6.38,2019,not visible
Kepler-82 f,904.326,20.9,15.131,2019,not visible
HIP 79098 AB b,145.798,26650.0,5.86,2019,visible
V1298 Tauri b,108.199,832.0,10.115,2019,not visible
Teegarden’s Star c,3.83078,1.05,15.13,2019,not visible
Teegarden’s Star b,3.83078,1.16,15.13,2019,not visible
PDS 70 c,113.064,2600.0,12.032,2019,not visible
GJ 357 c,9.44181,3.4,10.91,2019,not visible
HD 45184 c,21.9532,8.81,6.383,2019,not visible
HD 15337 c,44.8155,8.11,9.1,2019,not visible
HD 15337 b,44.8155,7.51,9.1,2019,not visible
HD 181234 b,47.7458,12192.7,8.59,2019,not visible
GJ 4276 b,21.3362,16.57,12.903,2019,not visible
GJ 143 b,16.32,22.7,8.08,2019,not visible
HD 51608 c,35.0553,14.31,8.17,2019,not visible
HD 51608 b,35.0553,12.77,8.17,2019,not visible
HD 45184 b,21.9532,12.19,6.383,2019,not visible
HD 31527 d,38.4473,11.82,7.49,2019,not visible
HD 31527 c,38.4473,14.16,7.49,2019,not visible
HD 31527 b,38.4473,10.47,7.49,2019,not visible
HD 21693 c,33.255,17.37,7.95,2019,not visible
HD 21693 b,33.255,8.23,7.95,2019,not visible
HD 20781 e,35.9715,14.03,8.48,2019,not visible
HD 20781 d,35.9715,10.61,8.48,2019,not visible
HD 20781 c,35.9715,5.33,8.48,2019,not visible
HD 20781 b,35.9715,1.93,8.48,2019,not visible
HD 20003 c,41.8316,14.44,8.39,2019,not visible
HD 20003 b,41.8316,11.66,8.39,2019,not visible
HD 136352 d,14.7391,8.82,5.655,2019,visible
HD 136352 c,14.7391,11.24,5.655,2019,visible
HD 136352 b,14.7391,4.72,5.655,2019,visible
HD 134060 c,24.0125,29.29,6.29,2019,not visible
HD 134060 b,24.0125,10.1,6.29,2019,not visible
HD 202772 A b,161.498,1322.1,8.324,2019,not visible
Gl 378 b,14.9545,13.02,10.03,2019,not visible
GJ 685 b,14.3155,9.0,9.98,2019,not visible
GJ 411 b,2.5461,2.69,7.421,2019,not visible
HD 202696 b,188.546,2594.8,8.23,2019,not visible
HD 221416 b,95.5483,247.0,8.15,2019,not visible
HD 23472 b,39.0341,8.32,9.73,2019,not visible
HD 210193 b,42.2029,626.21,7.83,2019,not visible
NGTS-4 b,280.555,20.6,13.138,2019,not visible
HIP 71135 b,32.3311,18.8,10.53,2019,not visible
HIP 54373 c,18.7168,12.44,10.38,2019,not visible
HD 24085 b,54.9004,11.8,7.57,2019,not visible
NGTS-5 b,306.779,297.7,13.789,2019,not visible
HIP 54373 b,18.7168,8.62,10.38,2019,not visible
HIP 35173 b,33.1562,12.7,9.01,2019,not visible
HD 8326 b,30.6862,272.415,8.76,2019,not visible
HD 64114 b,31.5262,17.8,7.71,2019,not visible
HD 39855 b,23.2599,8.5,7.51,2019,not visible
HD 21411 b,29.1328,269.542,7.88,2019,not visible
HD 211970 b,13.1277,13.0,10.24,2019,not visible
HD 206255 b,75.2363,34.2,7.62,2019,not visible
HD 23472 c,39.0341,3.41,9.73,2019,not visible
HD 103949 b,26.4997,11.2,8.7,2019,not visible
HD 102843 b,62.758,465.881,9.26,2019,not visible
HD 221420 b,31.1415,28600.0,5.82,2019,visible
Qatar-9 b,213.771,1547.0,14.023,2019,not visible
Qatar-8 b,281.498,482.3,11.71,2019,not visible
Qatar-10 b,559.068,956.8,12.868,2019,not visible
Kepler-47 d,1025.02,19.02,15.31,2019,not visible
HD 21749 c,16.32,3.7,8.08,2019,not visible
LHS 3844 b,14.8846,2.25,15.24,2019,not visible
HD 92788 c,34.6538,4771.0,7.31637,2019,not visible
HD 50499 c,46.2845,3809.0,7.21,2019,not visible
HD 25015 b,37.433,11800.1,8.87,2019,not visible
HD 202696 c,188.546,2423.2,8.23,2019,not visible
K2-308 b,1314.53,288.6,15.072,2019,not visible
TOI-216.01,177.945,728.0,12.324,2019,not visible
TOI-150.01,336.267,3263.0,11.39,2019,not visible
DMPP-3 A b,45.23,2.58,9.066,2019,not visible
TOI-270 d,22.4793,4.78,12.603,2019,not visible
TOI-270 b,22.4793,1.58,12.603,2019,not visible
TOI-172 b,342.831,7046.0,11.299,2019,not visible
TOI-163 b,411.719,1586.0,11.467,2019,not visible
TOI-125 c,111.059,6.63,11.023,2019,not visible
TOI-125 b,111.059,9.5,11.023,2019,not visible
DMPP-2 b,137.94,568.1,8.57,2019,not visible
DMPP-1 e,62.5388,4.13,7.98,2019,not visible
DMPP-1 d,62.5388,3.35,7.98,2019,not visible
DMPP-1 c,62.5388,9.6,7.98,2019,not visible
DMPP-1 b,62.5388,24.27,7.98,2019,not visible
XO-7 b,234.149,921.7,10.521,2019,not visible
G 9-40 b,27.9276,11.7,13.821,2019,not visible
USco1621 b,137.901,20800.0,15.543,2019,not visible
USco1556 b,140.635,19500.0,15.36,2019,not visible
WASP-18 c,123.483,225.784,9.28,2019,not visible
WASP-126 c,216.526,262.587,10.994,2019,not visible
HD 213885 c,48.0883,19.95,7.95,2019,not visible
HD 213885 b,48.0883,8.83,7.95,2019,not visible
NGTS-9 b,609.128,3770.0,12.868,2019,not visible
TOI-216.02,177.945,18.752,12.324,2019,not visible
K2-290 b,272.909,10.9,11.114,2019,not visible
K2-290 c,272.909,1006.2,11.114,2019,not visible
KOI-1599.02,1131.64,9.0,14.795,2019,not visible
K2-293 b,392.251,6.57,13.44,2019,not visible
K2-268 d,327.783,2.83,13.848,2019,not visible
K2-268 e,327.783,2.33,13.848,2019,not visible
K2-268 f,327.783,5.6,13.848,2019,not visible
K2-294 b,373.078,3.39,12.649,2019,not visible
WASP-177 b,176.818,660.4,12.312,2019,not visible
WASP-181 b,437.495,388.7,12.924,2019,not visible
K2-339 b,360.36,4.35,14.487,2019,not visible
K2-292 b,114.293,24.5,9.885,2019,not visible
K2-343 b,166.169,3.36,16.01,2019,not visible
KOI-1599.01,1131.64,4.6,14.795,2019,not visible
K2-291 b,90.0562,6.49,10.014,2019,not visible
Qatar-7 b,705.981,2444.0,13.134,2019,not visible
WASP-190 b,542.251,,11.645,2019,not visible
Kepler-1658 b,788.238,7644.0,11.62,2019,not visible
HATS-70 b,1458.83,16770.0,12.227,2019,not visible
K2-289 b,274.3,249.6,14.81,2019,not visible
OGLE-2013-BLG-0911L b,3220,12363.0,26.42,2019,not visible
NGTS-8 b,428.976,1209.0,13.69,2019,not visible
TOI-270 c,22.4793,6.15,12.603,2019,not visible
WASP-175 b,539.36,1287.0,12.959,2019,not visible
NY Virginis c,544.024,7202.0,13.496,2019,not visible
WASP-185 b,279.35,1274.0,11.101,2019,not visible
GJ 3512 b,9.48637,598.0,15.18,2019,not visible
WASP-180 A b,253.985,1170.0,10.655,2019,not visible
WASP-184 b,663.231,741.0,12.771,2019,not visible
NGTS-6 b,308.262,1740.7,14.237,2019,not visible
WASP-182 b,327.602,192.4,11.98,2019,not visible
WASP-178 b,427.678,2158.0,9.946,2019,not visible
WASP-171 b,757.84,1409.2,12.612,2019,not visible
7 Canis Majoris c,19.8101,1131.0,3.95,2019,visible
WASP-169 b,627.066,729.3,12.167,2019,not visible
HD 97048 b,183.857,3250.0,8.44,2019,not visible
OGLE-2018-BLG-0740L b,3200,6240.0,18.21,2019,not visible
KELT-24 b,96.5173,6734.0,8.34,2019,not visible
Epsilon Indi A b,3.6384,4225.0,4.674,2019,visible
V1298 Tauri d,108.199,403.0,10.115,2019,not visible
LP 791-18 c,26.4927,7.1,16.91,2019,not visible
LP 791-18 b,26.4927,1.94,16.91,2019,not visible
HD 125390 b,153.647,35365.2,8.21,2019,not visible
MOA-bin-29 b,7120,780.0,44.61,2019,not visible
V1298 Tauri e,108.199,1313.0,10.115,2019,not visible
V1298 Tauri c,108.199,312.0,10.115,2019,not visible
WASP-183 b,325.377,652.6,13.081,2019,not visible
WASP-192 b,508.885,2990.0,12.678,2019,not visible
K2-165 d,134.591,7.5,11.332,2018,not visible
K2-219 c,325.4,2.66,12.09,2018,not visible
K2-167 b,80.8994,6.5,8.24,2018,not visible
K2-249 b,521.716,8.2,12.646,2018,not visible
K2-248 b,406.254,7.13,13.497,2018,not visible
K2-166 b,476.882,5.43,12.081,2018,not visible
K2-168 b,243.935,4.12,12.365,2018,not visible
K2-219 d,325.4,7.16,12.09,2018,not visible
K2-165 b,134.591,2.17,11.332,2018,not visible
K2-220 b,233.514,6.3,11.873,2018,not visible
K2-247 c,258.113,5.43,14.857,2018,not visible
K2-164 b,375.67,10.6,11.352,2018,not visible
K2-221 b,318.81,3.46,12.571,2018,not visible
K2-165 c,134.591,3.03,11.332,2018,not visible
HAT-P-11 c,37.7647,2990.0,9.46,2018,not visible
K2-163 b,208.529,6.65,13.078,2018,not visible
K2-218 b,394.083,7.13,12.92,2018,not visible
K2-212 b,109.218,7.51,12.977,2018,not visible
K2-213 b,389.702,2.9,11.803,2018,not visible
K2-214 b,300.64,6.48,11.806,2018,not visible
K2-215 b,403.964,5.16,12.99,2018,not visible
K2-216 b,115.461,8.0,12.403,2018,not visible
K2-250 b,414.708,6.53,14.314,2018,not visible
K2-217 b,381.878,12.5,12.264,2018,not visible
K2-219 b,325.4,2.38,12.09,2018,not visible
K2-162 b,124.433,2.67,12.278,2018,not visible
K2-156 b,150.21,1.37,13.4,2018,not visible
K2-157 b,298.373,0.972,12.942,2018,not visible
K2-222 b,101.321,8.7,9.543,2018,not visible
K2-158 b,197.299,7.46,11.774,2018,not visible
K2-159 b,170.998,5.73,11.995,2018,not visible
K2-160 b,315.363,10.2,12.838,2018,not visible
K2-161 b,916.319,31.1,12.718,2018,not visible
K2-247 b,258.113,5.14,14.857,2018,not visible
K2-244 b,212.902,3.71,11.78,2018,not visible
Kepler-1654 b,568.117,650.0,13.497,2018,not visible
BD+48 740 b,666.589,2210.0,8.69,2018,not visible
K2-241 b,149.464,7.04,11.97,2018,not visible
K2-224 c,275.255,6.39,12.7,2018,not visible
K2-158 c,197.299,2.18,11.774,2018,not visible
K2-210 b,176.51,0.566,11.535,2018,not visible
K2-240 c,72.9105,3.89,13.372,2018,not visible
HATS-43 b,362.273,339.3,13.562,2018,not visible
K2-240 b,72.9105,4.66,13.372,2018,not visible
HATS-44 b,446.035,728.0,14.397,2018,not visible
K2-239 d,31.0849,1.37,14.632,2018,not visible
HATS-45 b,772.11,910.0,13.325,2018,not visible
HATS-46 b,453.808,224.9,13.783,2018,not visible
K2-239 c,31.0849,0.972,14.632,2018,not visible
KPS-1 b,262.706,1417.0,12.97,2018,not visible
K2-233 d,67.5062,21.14,10.883,2018,not visible
K2-233 c,67.5062,12.81,10.883,2018,not visible
K2-231 b,321.215,6.8,12.768,2018,not visible
K2-246 b,703.616,12.0,14.792,2018,not visible
K2-232 b,130.72,517.4,9.822,2018,not visible
K2-245 b,456.064,17.4,12.755,2018,not visible
K2-239 b,31.0849,1.37,14.632,2018,not visible
K2-243 c,266.864,4.7,10.971,2018,not visible
K2-243 b,266.864,5.35,10.971,2018,not visible
Kepler-1655 b,213.26,5.4,11.045,2018,not visible
MOA-2010-BLG-117L b,3500,702.0,24.3,2018,not visible
HATS-40 b,1342.29,2067.0,13.478,2018,not visible
HATS-41 b,737.668,12610.0,12.678,2018,not visible
K2-242 b,109.237,6.99,16.414,2018,not visible
HATS-42 b,800.377,2444.0,13.682,2018,not visible
HATS-39 b,878.521,819.0,12.745,2018,not visible
K2-233 b,67.5062,11.26,10.883,2018,not visible
K2-211 b,272.297,2.24,13.1547,2018,not visible
K2-141 b,61.8736,4.97,11.454,2018,not visible
K2-209 b,76.4986,0.586,11.061,2018,not visible
K2-183 c,329.041,5.9,12.867,2018,not visible
K2-184 b,75.5857,2.76,10.345,2018,not visible
K2-185 b,268.357,1.6,12.235,2018,not visible
K2-186 b,330.739,10.2,12.413,2018,not visible
K2-187 b,330.916,1.87,13.102,2018,not visible
K2-187 c,330.916,2.54,13.102,2018,not visible
K2-187 d,330.916,6.35,13.102,2018,not visible
K2-187 e,330.916,4.27,13.102,2018,not visible
K2-188 b,446.821,2.39,12.657,2018,not visible
K2-228 b,129.46,1.92,13.028,2018,not visible
K2-227 b,187.234,3.41,12.015,2018,not visible
K2-226 b,211.265,2.99,12.337,2018,not visible
K2-225 b,357.778,12.0,11.836,2018,not visible
K2-224 b,275.255,3.05,12.7,2018,not visible
K2-223 c,198.604,2.86,11.443,2018,not visible
K2-223 b,198.604,0.64,11.443,2018,not visible
KELT-21 b,470.878,5083.0,10.484,2018,not visible
K2-155 d,72.7998,4.27,12.773,2018,not visible
K2-183 d,329.041,5.9,12.867,2018,not visible
K2-183 b,329.041,1.37,12.867,2018,not visible
K2-155 b,72.7998,3.89,12.773,2018,not visible
K2-182 b,154.83,20.0,11.833,2018,not visible
K2-180 b,203.896,11.442,12.557,2018,not visible
K2-179 b,190.81,6.86,12.939,2018,not visible
K2-178 b,214.753,12.4,12.382,2018,not visible
K2-177 b,492.167,5.13,12.681,2018,not visible
K2-176 b,247.302,2.83,12.909,2018,not visible
K2-175 b,247.266,4.81,10.836,2018,not visible
K2-174 b,99.9293,7.27,12.456,2018,not visible
K2-173 b,228.641,3.22,12.523,2018,not visible
K2-172 c,249.742,10.4,12.5,2018,not visible
K2-172 b,249.742,3.42,12.5,2018,not visible
K2-171 b,606.128,7.69,12.745,2018,not visible
K2-170 c,392.872,3.9,12.668,2018,not visible
K2-170 b,392.872,2.6,12.668,2018,not visible
K2-169 b,235.867,2.16,12.23,2018,not visible
K2-230 b,540.773,4.5,12.789,2018,not visible
K2-229 c,102.564,21.3,10.985,2018,not visible
K2-229 b,102.564,2.49,10.985,2018,not visible
K2-155 c,72.7998,7.27,12.773,2018,not visible
K2-154 c,129.356,4.94,13.861,2018,not visible
K2-208 b,256.887,3.46,12.577,2018,not visible
K2-192 b,221.753,2.92,12.656,2018,not visible
K2-194 b,629.51,12.9,12.998,2018,not visible
K2-195 b,315.014,9.96,12.524,2018,not visible
K2-195 c,315.014,7.16,12.524,2018,not visible
K2-196 b,584.877,12.6,12.241,2018,not visible
K2-197 b,247.637,7.08,12.199,2018,not visible
K2-198 b,110.567,16.3,10.971,2018,not visible
K2-199 b,107.518,6.9,12.358,2018,not visible
K2-199 c,107.518,12.4,12.358,2018,not visible
K2-200 b,184.131,2.43,12.428,2018,not visible
K2-201 b,197.932,2.54,12.168,2018,not visible
K2-201 c,197.932,10.8,12.168,2018,not visible
K2-202 b,300.397,5.91,13.354,2018,not visible
K2-203 b,166.147,2.45,12.391,2018,not visible
K2-204 b,577.235,9.51,12.985,2018,not visible
K2-205 b,405.301,4.64,12.45,2018,not visible
K2-206 b,244.443,8.22,13.084,2018,not visible
K2-207 b,363.064,7.3,13.175,2018,not visible
K2-193 b,411.923,14.8,13.341,2018,not visible
K2-191 b,287.188,3.12,13.329,2018,not visible
K2-154 b,129.356,4.62,13.861,2018,not visible
K2-190 c,160.679,1.34,11.138,2018,not visible
K2-147 b,90.5494,0.315,14.044,2018,not visible
K2-146 b,79.3002,5.77,16.7,2018,not visible
K2-153 b,143.125,4.66,14.96,2018,not visible
K2-152 b,108.449,5.86,13.728,2018,not visible
K2-151 b,69.4798,2.83,14.175,2018,not visible
K2-150 b,102.483,4.66,15.784,2018,not visible
K2-149 b,123.676,3.33,14.543,2018,not visible
K2-148 d,124.458,3.33,13.627,2018,not visible
K2-148 c,124.458,3.64,13.627,2018,not visible
K2-148 b,124.458,2.33,13.627,2018,not visible
K2-141 c,61.8736,8.0,11.454,2018,not visible
K2-252 b,228.839,3.68,12.93,2018,not visible
HATS-36 b,856.436,4180.8,14.364,2018,not visible
K2-188 c,446.821,8.4,12.657,2018,not visible
K2-189 b,242.113,2.92,12.398,2018,not visible
K2-189 c,242.113,6.8,12.398,2018,not visible
K2-190 b,160.679,2.41,11.138,2018,not visible
K2-251 b,147.03,6.12,15.66,2018,not visible
WASP-172 b,538.11,611.0,10.988,2018,not visible
K2-253 b,876.565,,15.002,2018,not visible
Kepler-730 c,1935.04,3.09,15.782,2018,not visible
K2-348 c,201.856,7.61,12.572,2018,not visible
K2-352 c,176.051,4.35,11.125,2018,not visible
K2-352 d,176.051,5.6,11.125,2018,not visible
WASP-147 b,436.098,357.5,12.681,2018,not visible
TCP J05074264+2447555 b,505,20.0,14.243,2018,not visible
TYC 3318-01333-1 b,490.61,4446.0,9.901,2018,not visible
GJ 1265 b,10.2525,7.4,14.01,2018,not visible
GJ 3779 b,13.743,8.0,13.04,2018,not visible
Gl 686 b,8.15728,6.624,9.62,2018,not visible
HD 13167 b,148.934,4303.0,8.34,2018,not visible
HD 14787 b,119.137,1457.3,7.63,2018,not visible
HD 180053 b,137.043,2852.2,7.93,2018,not visible
HD 18015 b,123.801,4290.0,7.89,2018,not visible
K2-181 b,360.911,8.45,12.669,2018,not visible
HD 4917 b,204.277,2099.5,8.03,2018,not visible
HD 72490 b,126.339,2298.4,7.82,2018,not visible
HD 94834 b,98.1609,1638.0,7.6,2018,not visible
K2-348 b,201.856,10.7,12.572,2018,not visible
K2-280 b,391.537,37.1,12.524,2018,not visible
K2-281 b,458.139,208.0,15.048,2018,not visible
K2-282 b,496.289,6.8,14.21,2018,not visible
K2-283 b,402.915,12.2,14.364,2018,not visible
NGTS-2 b,356.391,962.0,10.789,2018,not visible
K2-185 c,268.357,6.3,12.235,2018,not visible
K2-331 c,211.43,7.85,11.305,2018,not visible
K2-344 b,75.1691,3.15,13.423,2018,not visible
K2-333 b,343.99,31.6,12.073,2018,not visible
K2-254 b,227.775,3.29,14.238,2018,not visible
K2-341 b,421.408,10.4,12.725,2018,not visible
K2-342 b,208.357,4.78,11.338,2018,not visible
K2-343 c,166.169,4.74,16.01,2018,not visible
HD 238914 b,519.452,7800.0,8.770001,2018,not visible
LHS 1140 c,14.9861,1.91,14.15,2018,not visible
HATS-69 b,414.537,750.1,14.074,2018,not visible
WASP-173 A b,232.98,4797.0,11.15,2018,not visible
HATS-68 b,603.955,1677.0,12.312,2018,not visible
DE Canum Venaticorum b,30.5225,15638.09,12.956,2018,not visible
Kepler-411 d,153.676,15.2,12.448,2018,not visible
Kepler-411 e,153.676,10.8,12.448,2018,not visible
GJ 15 A c,3.56228,36.0,8.09,2018,not visible
EPIC 248847494 b,551.886,16900.0,12.353,2018,not visible
K2-285 d,154.961,6.5,12.075,2018,not visible
K2-285 c,154.961,15.68,12.075,2018,not visible
K2-285 b,154.961,9.68,12.075,2018,not visible
KOI-3680 b,921.986,2509.0,14.616,2018,not visible
HATS-59 c,642.884,16510.0,14.033,2018,not visible
HATS-59 b,642.884,1047.8,14.033,2018,not visible
K2-284 b,107.272,8.15,13.265,2018,not visible
WASP-165 b,602.236,855.4,12.816,2018,not visible
K2-285 e,154.961,10.7,12.075,2018,not visible
WASP-161 b,343.08,3237.0,11.079,2018,not visible
WASP-164 b,327.506,2769.0,12.603,2018,not visible
HATS-60 b,486.474,860.6,12.662,2018,not visible
HATS-67 b,960.109,1885.0,13.698,2018,not visible
HATS-66 b,1477.98,6929.0,14.283,2018,not visible
HATS-65 b,493.32,1067.3,12.679,2018,not visible
HATS-64 b,1080.15,1248.0,13.045,2018,not visible
HATS-63 b,623.232,1248.0,13.992,2018,not visible
HATS-62 b,523.067,232.7,14.171,2018,not visible
HATS-61 b,679.761,4420.0,13.352,2018,not visible
K2-295 b,232.801,435.5,13.8941,2018,not visible
HD 126525 b,37.6506,308.1,7.85,2018,not visible
K2-287 b,158.335,409.5,11.41,2018,not visible
K2-286 b,76.1486,5.06,12.881,2018,not visible
HD 233832 b,58.742,2314.0,10.15,2018,not visible
HD 180617 b,5.91059,12.214,9.12,2018,not visible
HD 220197 b,64.411,260.0,8.92,2018,not visible
WASP-170 b,305.603,2080.0,12.613,2018,not visible
WASP-163 b,261.386,2431.0,12.663,2018,not visible
Wolf 503 b,44.526,6.27,10.27,2018,not visible
K2-334 b,371.823,27.2,11.842,2018,not visible
WASP-145 A b,91.299,1157.0,11.636,2018,not visible
K2-272 b,423.065,9.96,13.872,2018,not visible
K2-274 b,228.327,4.98,13.181,2018,not visible
K2-275 b,123.438,6.08,11.974,2018,not visible
K2-265 b,138.671,6.54,11.187,2018,not visible
K2-268 b,327.783,2.86,13.848,2018,not visible
K2-268 c,327.783,7.7,13.848,2018,not visible
K2-269 b,360.76,3.09,11.784,2018,not visible
K2-270 b,280.518,2.48,13.847,2018,not visible
K2-266 b,77.5586,11.268,11.625,2018,not visible
K2-266 c,77.5586,0.29,11.625,2018,not visible
K2-266 d,77.5586,8.9,11.625,2018,not visible
EPIC 246851721 b,372.632,3900.0,11.237,2018,not visible
GJ 1132 c,12.613,2.64,13.68,2018,not visible
GJ 96 b,11.9315,19.66,9.4,2018,not visible
HD 158996 b,283.659,18200.0,5.72291,2018,visible
K2-275 c,123.438,5.52,11.974,2018,not visible
HD 215152 b,21.5974,1.819,8.11,2018,not visible
HD 215152 c,21.5974,1.72,8.11,2018,not visible
HD 215152 d,21.5974,2.801,8.11,2018,not visible
HD 215152 e,21.5974,2.877,8.11,2018,not visible
K2-276 b,488.152,13.7,14.654,2018,not visible
K2-277 b,113.123,4.94,10.364,2018,not visible
WASP-160 B b,288.326,361.4,13.04,2018,not visible
24 Bootis b,95.9863,1147.9,5.59,2018,visible
K2-273 b,308.105,9.53,13.246,2018,not visible
K2-271 b,564.454,170.3,13.845,2018,not visible
PDS 70 b,113.064,3900.0,12.032,2018,not visible
K2-270 c,280.518,9.01,13.847,2018,not visible
K2-254 c,227.775,5.43,14.238,2018,not visible
K2-255 b,191.608,8.75,13.662,2018,not visible
K2-256 b,564.693,7.41,14.954,2018,not visible
K2-257 b,64.0065,0.498,13.716,2018,not visible
K2-258 b,661.873,9.27,13.361,2018,not visible
K2-259 b,416.457,5.99,12.511,2018,not visible
K2-237 b,314.995,1771.9,11.602,2018,not visible
K2-238 b,537.963,1118.0,13.973,2018,not visible
CoRoT-20 c,844.061,22100.0,14.63,2018,not visible
K2-260 b,663.834,1846.0,12.624,2018,not visible
K2-261 b,213.283,244.4,10.612,2018,not visible
WASP-174 b,410.149,429.0,11.803,2018,not visible
K2-263 b,162.481,14.9,11.568,2018,not visible
K2-264 b,185.605,5.61,16.701,2018,not visible
K2-264 c,185.605,7.6,16.701,2018,not visible
K2-266 e,77.5586,14.3,11.625,2018,not visible
Kepler-1656 b,185.875,195.0,11.64,2018,not visible
WASP-144 b,355.513,572.0,13.085,2018,not visible
WASP-158 b,524.993,3627.0,12.044,2018,not visible
WASP-159 b,715.383,715.0,12.836,2018,not visible
WASP-162 b,310.841,6760.0,12.213,2018,not visible
WASP-168 b,303.941,546.0,12.124,2018,not visible
EPIC 211945201 b,181.69,27.0,10.154,2018,not visible
Gamma Librae b,47.4017,1463.8,3.90672,2018,visible
Gamma Librae c,47.4017,6800.3,3.90672,2018,visible
HD 98736 b,32.4459,3029.0,7.93,2018,not visible
HD 148164 b,77.1971,1599.0,8.23,2018,not visible
Pi Mensae c,18.2874,3.63,5.666,2018,visible
GJ 317 c,15.1968,2137.148,12.4,2018,not visible
HD 102329 c,217.107,1976.0,7.88,2018,not visible
HD 114783 c,21.0628,2470.0,7.56,2018,not visible
HD 116029 c,123.245,1651.0,7.88,2018,not visible
HD 1397 b,79.5702,539.5,7.79,2018,not visible
HD 156279 c,36.1945,12675.0,8.07,2018,not visible
HD 219666 b,94.1719,16.6,9.809,2018,not visible
HD 26965 b,5.0098,8.47,4.415,2018,visible
HD 33142 c,121.375,1157.0,7.96,2018,not visible
HD 95089 c,136.957,4485.0,7.92,2018,not visible
HD 99706 c,146.6,7397.0,7.65,2018,not visible
IC 4651 9122 b,859.324,8190.0,10.909,2018,not visible
K2-288 B b,65.6138,4.27,13.868,2018,not visible
NGTS-3 A b,743.972,3094.0,14.669,2018,not visible
K2-80 d,200.802,7.04,12.694,2018,not visible
HD 89345 b,132.345,34.961,9.38,2018,not visible
HD 148164 c,77.1971,6708.0,8.23,2018,not visible
HD 211810 b,64.6353,871.0,8.59,2018,not visible
K2-278 b,786.439,9.17,13.446,2018,not visible
